run_dir,result_file,w_lpm,w_volatility,w_cost,delta_h,gamma,timesteps,lpm_target,h_min,h_max,n_scenarios,sac_mean_pnl,naive_mean_pnl,diff_mean_pnl_vs_naive,sac_es95,naive_es95,diff_es95_vs_naive,sac_he,naive_he,diff_he_vs_naive,mean_h_diagnostic,turnover_h,flag_mean_pnl_better_than_naive,flag_es95_better_than_naive,flag_he_better_than_naive,flags_total,rank_score
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,5000,0.01,0.0,1.25,50652,226171.8051614942,251676.30192371484,-25504.49676222063,-6755372.496324515,-6653209.414350571,-102163.08197394386,0.7914015170141817,0.7943924975112011,-0.0029909804970194,1.0086988537223514,0.0566369864834649,False,False,False,0,51.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,5000,0.0001,0.0,1.25,50652,226635.51814419977,251676.30192371484,-25040.7837795151,-6771400.3048045775,-6653209.414350571,-118190.89045400638,0.7910319043200563,0.7943924975112011,-0.0033605931911447,1.0077316051552887,0.0613735981388555,False,False,False,0,53.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,5000,0.0,0.0,1.25,50652,219885.6537755667,251676.30192371484,-31790.648148148142,-6732964.035977101,-6653209.414350571,-79754.62162652984,0.792267967238361,0.7943924975112011,-0.00212453027284,1.0042634190041235,0.0675157683487401,False,False,False,0,54.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.01_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.01,0.995,5000,0.0005,0.0,1.25,50652,223867.77649530137,251676.30192371484,-27808.52542841347,-6805813.361531778,-6653209.414350571,-152603.94718120713,0.7897214403811494,0.7943924975112011,-0.0046710571300516,1.009218837423216,0.0614013905660739,False,False,False,0,58.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,5000,0.0001,0.0,1.25,50652,229474.95785043057,251676.30192371484,-22201.344073284272,-6814825.947572048,-6653209.414350571,-161616.5332214767,0.7882881015482013,0.7943924975112011,-0.0061043959629998,1.007452372777751,0.1284015872132375,False,False,False,0,68.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.01/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,5000,0.01,0.0,1.25,50652,227091.37418147377,251676.30192371484,-24584.927742241096,-6866992.979467034,-6653209.414350571,-213783.56511646323,0.786566493335048,0.7943924975112011,-0.007826004176153,1.0096384180549929,0.1137147416253812,False,False,False,0,72.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,5000,0.0005,0.0,1.25,50652,229907.1030766802,251676.30192371484,-21769.198847034655,-6924263.010450057,-6653209.414350571,-271053.59609948564,0.7854053451932015,0.7943924975112011,-0.0089871523179996,1.018012562982623,0.111912306700504,False,False,False,0,75.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.02_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0/results_all_windows.csv,0.45,0.35,0.2,0.02,0.995,5000,0.0,0.0,1.25,50652,219979.07121219317,251676.30192371484,-31697.230711521668,-6891443.887575995,-6653209.414350571,-238234.47322542407,0.786022184458919,0.7943924975112011,-0.008370313052282,1.0122336694524543,0.116420902743172,False,False,False,0,80.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0005/results_all_windows.csv,0.45,0.35,0.2,0.2,0.995,5000,0.0005,0.0,1.25,50652,92960.60836768548,251676.30192371484,-158715.69355602935,-10446323.2969167,-6653209.414350571,-3793113.882566128,0.6159972278232914,0.7943924975112011,-0.1783952696879097,0.7391258891024233,1.461691402935959,False,False,False,0,115.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001,rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T5000_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.2_wLPM0.45_wVOL0.35_wCOST0.2_tau0.0001/results_all_windows.csv,0.45,0.35,0.2,0.2,0.995,5000,0.0001,0.0,1.25,50652,78456.29442154319,251676.30192371484,-173220.00750217165,-10659296.607726015,-6653209.414350571,-4006087.193375446,0.6026805437899114,0.7943924975112011,-0.1917119537212896,0.7316274767446652,1.4456129977617402,False,False,False,0,117.0
